mean_size,sorting,skewness,kurtosis,ripple_index,zone
3.2,0.468,0.055,1,7.42,1
3.1,0.683,-0.222,1.35,7.33,1
2.78,0.917,-0.262,1.16,9.07,1
3.24,0.421,0.091,1.07,9.45,1
3.27,0.502,0.196,1.028,5.88,1
3.01,0.416,0.117,0.804,7.56,1
2.97,0.417,0.21,1.05,6.9,1
3.38,0.425,-0.362,1.052,7,1
3.3,0.424,-0.071,0.997,6.95,1
3.21,0.472,-0.092,1.024,7.17,1
3.3,0.408,-0.139,1.02,6.93,1
3.14,0.405,-0.002,0.772,6.22,1
3.1,0.397,0.053,0.771,6.19,1
2.85,0.469,-0.004,0.847,6.38,1
2.983,0.386,0.154,0.934,6.07,1
2.79,0.41,0.302,1.062,6.78,1
2.99,0.417,0.33,0.991,6.7,1
3.09,0.382,0.115,0.866,6.06,1
3.06,0.429,0.108,0.887,6.25,1
3.08,0.424,0.07,0.836,6.56,1
3.33,0.465,-0.251,0.991,6.17,1
3.31,0.494,-0.972,0.893,6.5,1
2.85,0.412,0.291,0.784,6.04,1
2.74,0.28,0.383,1.332,8.86,0
2.76,0.282,0.367,1.187,4.7,0
2.68,0.424,0.357,1.749,7,0
2.5,0.262,0.111,1.366,5.33,0
2.71,0.398,0.46,1.475,4.34,0
2.58,0.191,0.221,1.398,7.04,0
2.62,0.253,0.392,1.51,8.24,0
2.64,0.234,0.843,1.62,4.4,0
2.76,0.264,0.35,1.23,7,0
2.75,0.258,0.323,1.194,7.95,0
2.77,0.256,0.386,1.195,8.1,0
2.59,0.206,0.128,1.503,4.5,0
2.62,0.203,0.25,1.425,8.07,0
2.69,0.249,0.339,1.767,4.91,0
2.6,0.238,0.265,1.662,8.85,0
2.7,0.262,0.369,1.78,8.07,0
2.7,0.274,0.386,1.578,8.14,0
2.66,0.243,0.312,1.736,8.92,0
2.63,0.295,0.114,1.604,6.4,0
